idescuela,idplantel,ccts,escuela,idcodigo,cv_cct,
6170,07INM_18761,07EJN9070C,"CENTRO   DE   EDUCACION   BASICA   FUNDACION
BANCOMER-GOBIERNO DEL ESTADO",2572,,
6171,07INM_18762,07EPR9218V,"CENTRO   DE   EDUCACION   BASICA   FUNDACION
BANCOMER-GOBIERNO DEL ESTADO",2572,,
6172,07INM_18712,07KPR0573N,PRIMARIA CONAFE,2569,07KPR0573N,
6173,07INM_18710,07KTV0365F,SECUNDARIA COMUNITARIA,144110,,
6174,07INM_18711,07KPR1736O/07KJN0639P,PRIMARIA CONAFE,144110,07KPR5206Z,
6175,07INM_18748,07DPR4537Z,HERMENEGILDO GALEANA,144110,07DPR4537Z,
6176,07INM_18749,07KJN3644V,PREESCOLAR CONAFE,144110,07KJN3644V,
6177,07INM_18785,07KPR5451K,PRIMARIA CONAFE,144110,07KPR0812X,
6178,07INM_18786,07KJN3559Y,PREESCOLAR CONAFE,144110,07KJN2611X,
6179,07INM_18713,07EPB0590S,PRIMARIA COMUNITARIA QUETZALCOALT,2571,07EPB0590S,
6180,07INM_18714,07KPR2551P/07KJN2818O,PRIMARIA CONAFE,144110,07KPR2551P,
6181,07INM_18769,07ETV0302J,"TELESECUNDARIA   191   ROSARIO   CASTELLANOS
FIGUEROA",144110,,
6182,07INM_18721,07DPR2062Q,FRANCISCO GONZALEZ BOCANEGRA,144110,07DPR2062Q,
6183,07INM_18722,07KPR5787W/07KJN3449S,PRIMARIA CONAFE,144110,07KPR5787W,
6184,07INM_19086,07DPB1066E,GUADALUPE VICTORIA,144110,,
6185,07INM_18972,07KPB0303T,PRIMARIA CONAFE INDIGENA,144110,07KPB0303T,
6186,07INM_18973,07KCC0419O,PREESCOLAR CONAFE INDIGENA,144110,07KCC0419O,
6187,07INM_19078,07KCC1701T,PREESCOLAR CONAFE INDIGENA,144110,07KCC1701T,
6188,07INM_19062,07KPB1477Q,PRIMARIA CONAFE INDIGENA,144110,07KPB1477Q,
6189,07INM_18954,07KCC0930F,PREESCOLAR CONAFE INDIGENA,144110,07KCC0930F,
6190,07INM_18955,07DPB3118H,MIGUEL HIDALGO Y COSTILLA,144110,07DPB3118H,
6191,07INM_18958,07KCC0207L,PREESCOLAR CONAFE INDIGENA,144110,07KCC0577D,
6192,07INM_18959,07DPB3060Y,LAZARO CARDENAS DEL RIO,144110,07DPB3060Y,
6193,07INM_19073,07KCC1671P,PREESCOLAR CONAFE INDIGENA,144110,07KCC1671P,
6194,07INM_19074,07DPB3230B,GALILEO GALILEI,144110,07DPB3230B,
6195,07INM_19080,07KPB1811D/07KCC1672O,PRIMARIA CONAFE INDIGENA,144110,07KPB1811D,
6196,07INM_18845,07ETV1306M,TELESECUNDARIA 1281 BENITO JUAREZ GARCIA,144110,07ETV1306M,
6197,07INM_18846,07DCC0204E,MARTIRES DEL RIO BLANCO,144110,07DCC0204E,
6198,07INM_18947,07DCC1828P,ROSARIO CASTELLANOS FIGUEROA,144110,07DCC1828P,
6199,07INM_18948,07DPB0797K,MTRO. MANUEL GAMIO,144110,07DPB0797K,
6200,07INM_18838,07DPB0268U,15 DE SEPTIEMBRE,144110,07DPB0268U,
6201,07INM_18842,07ETV0124X,"TELESECUNDARIA  179  JOSE  MARIA  MORELOS  Y
PAVON",1896,,
6202,07INM_18843,07DCC0479T,MARCOS ENCINOS,1896,07DCC0479T,
6203,07INM_19082,07DPB3282H,JUAN ESCUTIA Y MARTINEZ,144110,07DPB3282H,
6204,07INM_18854,07DCC1762X,LAZARO CARDENAS DEL RIO,144110,07DCC1762X,
6205,07INM_18943,07ECC0477U,"JARDIN      DE      NIÑOS      COMUNITARIO      JOSE
GOROSTIZA",144110,,
6206,07INM_18944,07EPB0483J,PRIMARIA COMUNITARIA MONTE ALBAN,144110,07EPB0483J,
6207,07INM_18945,07ECC0732V,"JARDIN   DE   NIÑOS   COMUNITARIO   VASCO   DE
QUIROGA",144110,,
6208,07INM_18946,07EPB0847A,"PRIMARIA COMUNITARIA MARGARITA MAZA DE
JUAREZ",144110,,
